2列目 - 1列目 + 3列目 = 最も似た単語:類似度, 正解の単語
Norway - Oslo + Cairo = Egypt: 0.648564875125885, 正解(Egypt)
Norway - Oslo + Canberra = Australia: 0.6659440994262695, 正解(Australia)
Norway - Oslo + Hanoi = Viet_Nam: 0.6725807785987854, 正解(Vietnam)
Norway - Oslo + Havana = Cuba: 0.6872506737709045, 正解(Cuba)
Norway - Oslo + Helsinki = Finland: 0.7597396969795227, 正解(Finland)
Norway - Oslo + Islamabad = Pakistan: 0.7402520179748535, 正解(Pakistan)
Norway - Oslo + Kabul = Afghan: 0.6668799519538879, 正解(Afghanistan)
Norway - Oslo + London = Britain: 0.5965445637702942, 正解(England)
Norway - Oslo + Madrid = Spain: 0.7048339247703552, 正解(Spain)
Norway - Oslo + Moscow = Russia: 0.7753174901008606, 正解(Russia)
Canada - Ottawa + Paris = France: 0.6785700917243958, 正解(France)
Canada - Ottawa + Rome = Italy: 0.6197057366371155, 正解(Italy)
Canada - Ottawa + Stockholm = Sweden: 0.6799954771995544, 正解(Sweden)
Canada - Ottawa + Tehran = Iran: 0.7942391037940979, 正解(Iran)
Canada - Ottawa + Tokyo = Japan: 0.7730817794799805, 正解(Japan)
Canada - Ottawa + Athens = Greece: 0.6049501895904541, 正解(Greece)
Canada - Ottawa + Baghdad = Mosul: 0.6928874850273132, 正解(Iraq)
Canada - Ottawa + Bangkok = Thailand: 0.7282172441482544, 正解(Thailand)
Canada - Ottawa + Beijing = China: 0.7361443042755127, 正解(China)
Canada - Ottawa + Berlin = Germany: 0.6958566904067993, 正解(Germany)
Canada - Ottawa + Bern = Switzerland: 0.49288448691368103, 正解(Switzerland)
Canada - Ottawa + Cairo = Egypt: 0.6540226340293884, 正解(Egypt)
Canada - Ottawa + Canberra = Australia: 0.7816479206085205, 正解(Australia)
Canada - Ottawa + Hanoi = Viet_Nam: 0.6933957934379578, 正解(Vietnam)
Canada - Ottawa + Havana = Cuba: 0.6928884387016296, 正解(Cuba)
Canada - Ottawa + Helsinki = Finland: 0.6559790372848511, 正解(Finland)
Canada - Ottawa + Islamabad = Pakistan: 0.7278954982757568, 正解(Pakistan)
Canada - Ottawa + Kabul = Afghan: 0.6234792470932007, 正解(Afghanistan)
Canada - Ottawa + London = UK: 0.6214374303817749, 正解(England)
Canada - Ottawa + Madrid = Spain: 0.7061105370521545, 正解(Spain)
Canada - Ottawa + Moscow = Russia: 0.7874436974525452, 正解(Russia)
Canada - Ottawa + Oslo = Norway: 0.6733485460281372, 正解(Norway)
France - Paris + Rome = Italy: 0.7115297317504883, 正解(Italy)
France - Paris + Stockholm = Sweden: 0.800855815410614, 正解(Sweden)
France - Paris + Tehran = Iran: 0.8286857604980469, 正解(Iran)
France - Paris + Tokyo = Japan: 0.8330698013305664, 正解(Japan)
France - Paris + Athens = Greece: 0.6448978185653687, 正解(Greece)
France - Paris + Baghdad = Mosul: 0.7317084074020386, 正解(Iraq)
France - Paris + Bangkok = Thailand: 0.7810581922531128, 正解(Thailand)
France - Paris + Beijing = China: 0.7781206369400024, 正解(China)
France - Paris + Berlin = Germany: 0.7883754372596741, 正解(Germany)
France - Paris + Bern = Switzerland: 0.4837155342102051, 正解(Switzerland)
France - Paris + Cairo = Egypt: 0.726189374923706, 正解(Egypt)
France - Paris + Canberra = Australia: 0.7216399312019348, 正解(Australia)
France - Paris + Hanoi = Viet_Nam: 0.7421995401382446, 正解(Vietnam)
France - Paris + Havana = Cuba: 0.7487368583679199, 正解(Cuba)
France - Paris + Helsinki = Finland: 0.7737063765525818, 正解(Finland)
France - Paris + Islamabad = Pakistan: 0.7927486300468445, 正解(Pakistan)
France - Paris + Kabul = Afghan: 0.7241858839988708, 正解(Afghanistan)
France - Paris + London = Britain: 0.7286613583564758, 正解(England)
France - Paris + Madrid = Spain: 0.7834293246269226, 正解(Spain)
France - Paris + Moscow = Russia: 0.8497267365455627, 正解(Russia)
France - Paris + Oslo = Norway: 0.7489466071128845, 正解(Norway)
France - Paris + Ottawa = Canada: 0.6774712204933167, 正解(Canada)
Italy - Rome + Stockholm = Sweden: 0.773914635181427, 正解(Sweden)
Italy - Rome + Tehran = Iran: 0.7836984992027283, 正解(Iran)
Italy - Rome + Tokyo = Japan: 0.7775930762290955, 正解(Japan)
Italy - Rome + Athens = Greece: 0.6569706201553345, 正解(Greece)
Italy - Rome + Baghdad = Iraqi: 0.682332456111908, 正解(Iraq)
Italy - Rome + Bangkok = Thailand: 0.7607449889183044, 正解(Thailand)
Italy - Rome + Beijing = China: 0.746962308883667, 正解(China)
Italy - Rome + Berlin = Germany: 0.7864465117454529, 正解(Germany)
Italy - Rome + Bern = Switzerland: 0.5766065120697021, 正解(Switzerland)
Italy - Rome + Cairo = Egypt: 0.706522524356842, 正解(Egypt)
Italy - Rome + Canberra = Australia: 0.7180919647216797, 正解(Australia)
Italy - Rome + Hanoi = Viet_Nam: 0.7025473713874817, 正解(Vietnam)
Italy - Rome + Havana = Cuba: 0.6990990042686462, 正解(Cuba)
Italy - Rome + Helsinki = Finland: 0.7538446187973022, 正解(Finland)
Italy - Rome + Islamabad = Pakistan: 0.775363028049469, 正解(Pakistan)
Italy - Rome + Kabul = Afghan: 0.6999913454055786, 正解(Afghanistan)
Italy - Rome + London = UK: 0.6101359724998474, 正解(England)
Italy - Rome + Madrid = Spain: 0.7485603094100952, 正解(Spain)
Italy - Rome + Moscow = Russia: 0.7712364196777344, 正解(Russia)
Italy - Rome + Oslo = Norway: 0.7217061519622803, 正解(Norway)
Italy - Rome + Ottawa = Canada: 0.649071455001831, 正解(Canada)
Italy - Rome + Paris = France: 0.7374979257583618, 正解(France)
Sweden - Stockholm + Tehran = Iran: 0.8004787564277649, 正解(Iran)
Sweden - Stockholm + Tokyo = Japan: 0.8146138787269592, 正解(Japan)
Sweden - Stockholm + Athens = Greece: 0.6158357858657837, 正解(Greece)
Sweden - Stockholm + Baghdad = Mosul: 0.6956642270088196, 正解(Iraq)
Sweden - Stockholm + Bangkok = Thailand: 0.7566988468170166, 正解(Thailand)
Sweden - Stockholm + Beijing = China: 0.7263510227203369, 正解(China)
Sweden - Stockholm + Berlin = Germany: 0.7523849606513977, 正解(Germany)
Sweden - Stockholm + Bern = Switzerland: 0.49002552032470703, 正解(Switzerland)
Sweden - Stockholm + Cairo = Egypt: 0.7075308561325073, 正解(Egypt)
Sweden - Stockholm + Canberra = Australia: 0.6850593090057373, 正解(Australia)
Sweden - Stockholm + Hanoi = Viet_Nam: 0.6977726817131042, 正解(Vietnam)
Sweden - Stockholm + Havana = Cuba: 0.7325002551078796, 正解(Cuba)
Sweden - Stockholm + Helsinki = Finland: 0.8100319504737854, 正解(Finland)
Sweden - Stockholm + Islamabad = Pakistan: 0.7596778869628906, 正解(Pakistan)
Sweden - Stockholm + Kabul = Afghan: 0.6701618432998657, 正解(Afghanistan)
Sweden - Stockholm + London = Britain: 0.6309190988540649, 正解(England)
Sweden - Stockholm + Madrid = Spain: 0.7526832818984985, 正解(Spain)
Sweden - Stockholm + Moscow = Russia: 0.8036779761314392, 正解(Russia)
Sweden - Stockholm + Oslo = Norway: 0.7683369517326355, 正解(Norway)
Sweden - Stockholm + Ottawa = Canada: 0.649280309677124, 正解(Canada)
Sweden - Stockholm + Paris = France: 0.7466070055961609, 正解(France)
Sweden - Stockholm + Rome = Italy: 0.6953161358833313, 正解(Italy)
Iran - Tehran + Tokyo = Japan: 0.7600185871124268, 正解(Japan)
Iran - Tehran + Athens = Greece: 0.6095498204231262, 正解(Greece)
Iran - Tehran + Baghdad = Iraq: 0.7495211958885193, 正解(Iraq)
Iran - Tehran + Bangkok = Thailand: 0.7901492118835449, 正解(Thailand)
Iran - Tehran + Beijing = China: 0.7839035987854004, 正解(China)
Iran - Tehran + Berlin = Germany: 0.6434038877487183, 正解(Germany)
Iran - Tehran + Bern = coach_Bobby_Curlings: 0.47967565059661865, 正解(Switzerland)
Iran - Tehran + Cairo = Egypt: 0.7682645320892334, 正解(Egypt)
Iran - Tehran + Canberra = Australia: 0.6855188608169556, 正解(Australia)
Iran - Tehran + Hanoi = Viet_Nam: 0.7467010617256165, 正解(Vietnam)
Iran - Tehran + Havana = Cuba: 0.8084513545036316, 正解(Cuba)
Iran - Tehran + Helsinki = Finland: 0.6702422499656677, 正解(Finland)
Iran - Tehran + Islamabad = Pakistan: 0.8296988606452942, 正解(Pakistan)
Iran - Tehran + Kabul = Afghan: 0.7081881165504456, 正解(Afghanistan)
Iran - Tehran + London = Britain: 0.5580949783325195, 正解(England)
Iran - Tehran + Madrid = Spain: 0.6727402806282043, 正解(Spain)
Iran - Tehran + Moscow = Russia: 0.8259222507476807, 正解(Russia)
Iran - Tehran + Oslo = Norway: 0.6835927963256836, 正解(Norway)
Iran - Tehran + Ottawa = Canada: 0.6195939779281616, 正解(Canada)
Iran - Tehran + Paris = France: 0.6141148209571838, 正解(France)
Iran - Tehran + Rome = Italy: 0.5673202276229858, 正解(Italy)
Iran - Tehran + Stockholm = Sweden: 0.6960271596908569, 正解(Sweden)
Japan - Tokyo + Athens = Greece: 0.6312424540519714, 正解(Greece)
Japan - Tokyo + Baghdad = Mosul: 0.7256296277046204, 正解(Iraq)
Japan - Tokyo + Bangkok = Thailand: 0.8180071115493774, 正解(Thailand)
Japan - Tokyo + Beijing = China: 0.8058403134346008, 正解(China)
Japan - Tokyo + Berlin = Germany: 0.7117253541946411, 正解(Germany)
Japan - Tokyo + Bern = Hanover: 0.4606655538082123, 正解(Switzerland)
Japan - Tokyo + Cairo = Egypt: 0.7438687682151794, 正解(Egypt)
Japan - Tokyo + Canberra = Australia: 0.7139509916305542, 正解(Australia)
Japan - Tokyo + Hanoi = Viet_Nam: 0.7631514072418213, 正解(Vietnam)
Japan - Tokyo + Havana = Cuba: 0.7654001712799072, 正解(Cuba)
Japan - Tokyo + Helsinki = Finland: 0.7778586149215698, 正解(Finland)
Japan - Tokyo + Islamabad = Pakistan: 0.7970173358917236, 正解(Pakistan)
Japan - Tokyo + Kabul = Afghan: 0.693543553352356, 正解(Afghanistan)
Japan - Tokyo + London = Britain: 0.67340087890625, 正解(England)
Japan - Tokyo + Madrid = Spain: 0.7648016810417175, 正解(Spain)
Japan - Tokyo + Moscow = Russia: 0.8621670603752136, 正解(Russia)
Japan - Tokyo + Oslo = Norway: 0.7327053546905518, 正解(Norway)
Japan - Tokyo + Ottawa = Canada: 0.6742672324180603, 正解(Canada)
Japan - Tokyo + Paris = France: 0.749785840511322, 正解(France)
Japan - Tokyo + Rome = Italy: 0.6476527452468872, 正解(Italy)
Japan - Tokyo + Stockholm = Sweden: 0.7989904880523682, 正解(Sweden)
Japan - Tokyo + Tehran = Iran: 0.8465984463691711, 正解(Iran)
